Keyword,dhq_total_keyword_count,jca_total_keyword_count,jooch_total_keyword_count,total_keyword_count,Significance score,Rank,Year,# of articles keyword DHQ,# of articles keyword JCA,# of articles keyword JOCCH,Size,DHQ_yearly_total,JCA_yearly_total,JOOCH_yearly_total
data,25,9,37,71,1.0,1,2010,1.0,0.0,1.0,48,22,0.0,10.0
visualization,28,3,23,54,1.0,2,2019,7.0,0.0,4.0,47,39,28.0,32.0
data,25,9,37,71,1.0,1,2011,1.0,0.0,3.0,48,20,0.0,20.0
data,25,9,37,71,1.0,1,2020,6.0,2.0,2.0,48,68,26.0,44.0
visualization,28,3,23,54,1.0,2,2011,0.0,0.0,3.0,47,20,0.0,20.0
data,25,9,37,71,1.0,1,2019,2.0,2.0,3.0,48,39,28.0,32.0
data,25,9,37,71,1.0,1,2014,3.0,0.0,1.0,48,28,0.0,21.0
data,25,9,37,71,1.0,1,2022,1.0,1.0,9.0,48,79,16.0,74.0
data,25,9,37,71,1.0,1,2015,0.0,0.0,3.0,48,34,0.0,33.0
data,25,9,37,71,1.0,1,2023,2.0,1.0,6.0,48,41,19.0,86.0
visualization,28,3,23,54,1.0,2,2020,5.0,1.0,1.0,47,68,26.0,44.0
data,25,9,37,71,1.0,1,2018,2.0,0.0,2.0,48,62,13.0,17.0
visualization,28,3,23,54,1.0,2,2018,3.0,0.0,1.0,47,62,13.0,17.0
data,25,9,37,71,1.0,1,2013,1.0,0.0,1.0,48,30,0.0,24.0
visualization,28,3,23,54,1.0,2,2013,1.0,0.0,1.0,47,30,0.0,24.0
data,25,9,37,71,1.0,1,2017,0.0,1.0,3.0,48,54,7.0,32.0
information,3,4,15,22,1.0,3,2018,2.0,0.0,1.0,46,62,13.0,17.0
visualization,28,3,23,54,1.0,2,2015,0.0,0.0,2.0,47,34,0.0,33.0
visualization,28,3,23,54,1.0,2,2022,1.0,0.0,6.0,47,79,16.0,74.0
information,3,4,15,22,1.0,3,2015,0.0,0.0,2.0,46,34,0.0,33.0
data,25,9,37,71,1.0,1,2009,1.0,0.0,0.0,48,47,0.0,6.0
visualization,28,3,23,54,1.0,2,2009,1.0,0.0,0.0,47,47,0.0,6.0
data,25,9,37,71,1.0,1,2021,5.0,1.0,0.0,48,69,32.0,60.0
visualization,28,3,23,54,1.0,2,2021,5.0,1.0,0.0,47,69,32.0,60.0
information,3,4,15,22,1.0,3,2019,0.0,0.0,3.0,46,39,28.0,32.0
data,25,9,37,71,1.0,1,2016,0.0,1.0,1.0,48,53,11.0,17.0
visualization,28,3,23,54,1.0,2,2016,1.0,1.0,0.0,47,53,11.0,17.0
visualization,28,3,23,54,1.0,2,2017,2.0,0.0,1.0,47,54,7.0,32.0
information,3,4,15,22,1.0,3,2016,0.0,0.0,2.0,46,53,11.0,17.0
distribution,2,2,4,8,1.0,4,2016,0.0,0.0,2.0,45,53,11.0,17.0
information,3,4,15,22,1.0,3,2013,0.0,0.0,1.0,46,30,0.0,24.0
visualization,28,3,23,54,1.0,2,2023,2.0,0.0,2.0,47,41,19.0,86.0
information,3,4,15,22,1.0,3,2011,1.0,0.0,0.0,46,20,0.0,20.0
information,3,4,15,22,1.0,3,2023,0.0,1.0,3.0,46,41,19.0,86.0
visualization,28,3,23,54,1.0,2,2014,0.0,0.0,1.0,47,28,0.0,21.0
information,3,4,15,22,1.0,3,2014,0.0,0.0,1.0,46,28,0.0,21.0
