Keyword,dhq_count,joca_count,jocch_count,total_count,Significance score,Rank,Year,# of articles DHQ,# of articles JCA,# of articles JOCCH,Keyword appearances in Year,Total number of articles in Year,% of articles,Size
data,25,9,37,71,1.0,1,2010,1.0,0.0,1.0,2.0,12.0,0.167,48
visualization,28,3,23,54,1.0,2,2019,7.0,0.0,4.0,11.0,66.0,0.167,47
data,25,9,37,71,1.0,1,2011,1.0,0.0,3.0,4.0,28.0,0.143,48
data,25,9,37,71,1.0,1,2020,6.0,2.0,2.0,10.0,88.0,0.114,48
visualization,28,3,23,54,1.0,2,2011,0.0,0.0,3.0,3.0,28.0,0.107,47
data,25,9,37,71,1.0,1,2019,2.0,2.0,3.0,7.0,66.0,0.106,48
data,25,9,37,71,1.0,1,2014,3.0,0.0,1.0,4.0,40.0,0.1,48
data,25,9,37,71,1.0,1,2022,1.0,1.0,9.0,11.0,124.0,0.089,48
data,25,9,37,71,1.0,1,2015,0.0,0.0,3.0,3.0,36.0,0.083,48
data,25,9,37,71,1.0,1,2023,2.0,1.0,6.0,9.0,111.0,0.081,48
visualization,28,3,23,54,1.0,2,2020,5.0,1.0,1.0,7.0,88.0,0.08,47
data,25,9,37,71,1.0,1,2018,2.0,0.0,2.0,4.0,52.0,0.077,48
visualization,28,3,23,54,1.0,2,2018,3.0,0.0,1.0,4.0,52.0,0.077,47
data,25,9,37,71,1.0,1,2013,1.0,0.0,1.0,2.0,27.0,0.074,48
visualization,28,3,23,54,1.0,2,2013,1.0,0.0,1.0,2.0,27.0,0.074,47
data,25,9,37,71,1.0,1,2017,0.0,1.0,3.0,4.0,69.0,0.058,48
information,3,4,15,22,1.0,3,2018,2.0,0.0,1.0,3.0,52.0,0.058,46
visualization,28,3,23,54,1.0,2,2015,0.0,0.0,2.0,2.0,36.0,0.056,47
visualization,28,3,23,54,1.0,2,2022,1.0,0.0,6.0,7.0,124.0,0.056,47
information,3,4,15,22,1.0,3,2015,0.0,0.0,2.0,2.0,36.0,0.056,46
data,25,9,37,71,1.0,1,2009,1.0,0.0,0.0,1.0,20.0,0.05,48
visualization,28,3,23,54,1.0,2,2009,1.0,0.0,0.0,1.0,20.0,0.05,47
data,25,9,37,71,1.0,1,2021,5.0,1.0,0.0,6.0,122.0,0.049,48
visualization,28,3,23,54,1.0,2,2021,5.0,1.0,0.0,6.0,122.0,0.049,47
information,3,4,15,22,1.0,3,2019,0.0,0.0,3.0,3.0,66.0,0.045,46
data,25,9,37,71,1.0,1,2016,0.0,1.0,1.0,2.0,47.0,0.043,48
visualization,28,3,23,54,1.0,2,2016,1.0,1.0,0.0,2.0,47.0,0.043,47
visualization,28,3,23,54,1.0,2,2017,2.0,0.0,1.0,3.0,69.0,0.043,47
information,3,4,15,22,1.0,3,2016,0.0,0.0,2.0,2.0,47.0,0.043,46
distribution,2,2,4,8,1.0,4,2016,0.0,0.0,2.0,2.0,47.0,0.043,45
information,3,4,15,22,1.0,3,2013,0.0,0.0,1.0,1.0,27.0,0.037,46
visualization,28,3,23,54,1.0,2,2023,2.0,0.0,2.0,4.0,111.0,0.036,47
information,3,4,15,22,1.0,3,2011,1.0,0.0,0.0,1.0,28.0,0.036,46
information,3,4,15,22,1.0,3,2023,0.0,1.0,3.0,4.0,111.0,0.036,46
visualization,28,3,23,54,1.0,2,2014,0.0,0.0,1.0,1.0,40.0,0.025,47
information,3,4,15,22,1.0,3,2014,0.0,0.0,1.0,1.0,40.0,0.025,46
distribution,2,2,4,8,1.0,4,2022,1.0,1.0,1.0,3.0,124.0,0.024,45
information,3,4,15,22,1.0,3,2022,0.0,1.0,1.0,2.0,124.0,0.016,46
distribution,2,2,4,8,1.0,4,2019,1.0,0.0,0.0,1.0,66.0,0.015,45
distribution,2,2,4,8,1.0,4,2017,0.0,0.0,1.0,1.0,69.0,0.014,45
information,3,4,15,22,1.0,3,2020,0.0,1.0,0.0,1.0,88.0,0.011,46
information,3,4,15,22,1.0,3,2021,0.0,1.0,0.0,1.0,122.0,0.008,46
distribution,2,2,4,8,1.0,4,2021,0.0,1.0,0.0,1.0,122.0,0.008,45
model,9,1,34,44,0.9,5,2010,1.0,0.0,2.0,3.0,12.0,0.25,44
model,9,1,34,44,0.9,5,2015,1.0,0.0,3.0,4.0,36.0,0.111,44
model,9,1,34,44,0.9,5,2011,1.0,0.0,2.0,3.0,28.0,0.107,44
model,9,1,34,44,0.9,5,2012,0.0,0.0,1.0,1.0,10.0,0.1,44
graph,3,1,3,7,0.9,9,2012,1.0,0.0,0.0,1.0,10.0,0.1,40
representation,8,5,17,30,0.9,6,2016,1.0,0.0,3.0,4.0,47.0,0.085,43
modeling,5,1,6,12,0.9,8,2010,1.0,0.0,0.0,1.0,12.0,0.083,41
number,2,1,1,4,0.9,10,2010,1.0,0.0,0.0,1.0,12.0,0.083,39
modeling,5,1,6,12,0.9,8,2014,1.0,0.0,2.0,3.0,40.0,0.075,41
modeling,5,1,6,12,0.9,8,2013,2.0,0.0,0.0,2.0,27.0,0.074,41
model,9,1,34,44,0.9,5,2020,0.0,1.0,5.0,6.0,88.0,0.068,44
representation,8,5,17,30,0.9,6,2021,1.0,0.0,7.0,8.0,122.0,0.066,43
model,9,1,34,44,0.9,5,2018,1.0,0.0,2.0,3.0,52.0,0.058,44
representation,8,5,17,30,0.9,6,2018,2.0,0.0,1.0,3.0,52.0,0.058,43
model,9,1,34,44,0.9,5,2023,0.0,0.0,6.0,6.0,111.0,0.054,44
representation,8,5,17,30,0.9,6,2009,1.0,0.0,0.0,1.0,20.0,0.05,43
machine learning,7,5,12,24,0.9,7,2009,1.0,0.0,0.0,1.0,20.0,0.05,42
model,9,1,34,44,0.9,5,2022,1.0,0.0,5.0,6.0,124.0,0.048,44
machine learning,7,5,12,24,0.9,7,2022,0.0,1.0,5.0,6.0,124.0,0.048,42
representation,8,5,17,30,0.9,6,2023,1.0,3.0,1.0,5.0,111.0,0.045,43
machine learning,7,5,12,24,0.9,7,2020,1.0,1.0,2.0,4.0,88.0,0.045,42
model,9,1,34,44,0.9,5,2017,2.0,0.0,1.0,3.0,69.0,0.043,44
graph,3,1,3,7,0.9,9,2013,0.0,0.0,1.0,1.0,27.0,0.037,40
representation,8,5,17,30,0.9,6,2011,0.0,0.0,1.0,1.0,28.0,0.036,43
model,9,1,34,44,0.9,5,2021,1.0,0.0,3.0,4.0,122.0,0.033,44
machine learning,7,5,12,24,0.9,7,2021,3.0,0.0,1.0,4.0,122.0,0.033,42
machine learning,7,5,12,24,0.9,7,2019,1.0,1.0,0.0,2.0,66.0,0.03,42
representation,8,5,17,30,0.9,6,2015,0.0,0.0,1.0,1.0,36.0,0.028,43
model,9,1,34,44,0.9,5,2014,0.0,0.0,1.0,1.0,40.0,0.025,44
representation,8,5,17,30,0.9,6,2014,0.0,0.0,1.0,1.0,40.0,0.025,43
graph,3,1,3,7,0.9,9,2014,1.0,0.0,0.0,1.0,40.0,0.025,40
representation,8,5,17,30,0.9,6,2022,1.0,1.0,1.0,3.0,124.0,0.024,43
model,9,1,34,44,0.9,5,2016,0.0,0.0,1.0,1.0,47.0,0.021,44
machine learning,7,5,12,24,0.9,7,2016,0.0,1.0,0.0,1.0,47.0,0.021,42
machine learning,7,5,12,24,0.9,7,2018,1.0,0.0,0.0,1.0,52.0,0.019,42
modeling,5,1,6,12,0.9,8,2018,1.0,0.0,0.0,1.0,52.0,0.019,41
machine learning,7,5,12,24,0.9,7,2023,0.0,1.0,1.0,2.0,111.0,0.018,42
graph,3,1,3,7,0.9,9,2023,0.0,1.0,1.0,2.0,111.0,0.018,40
modeling,5,1,6,12,0.9,8,2021,0.0,0.0,2.0,2.0,122.0,0.016,41
number,2,1,1,4,0.9,10,2021,1.0,1.0,0.0,2.0,122.0,0.016,39
model,9,1,34,44,0.9,5,2019,1.0,0.0,0.0,1.0,66.0,0.015,44
representation,8,5,17,30,0.9,6,2019,0.0,0.0,1.0,1.0,66.0,0.015,43
representation,8,5,17,30,0.9,6,2017,1.0,0.0,0.0,1.0,69.0,0.014,43
modeling,5,1,6,12,0.9,8,2017,0.0,1.0,0.0,1.0,69.0,0.014,41
graph,3,1,3,7,0.9,9,2017,1.0,0.0,0.0,1.0,69.0,0.014,40
representation,8,5,17,30,0.9,6,2020,0.0,1.0,0.0,1.0,88.0,0.011,43
number,2,1,1,4,0.9,10,2023,0.0,0.0,1.0,1.0,111.0,0.009,39
modeling,5,1,6,12,0.9,8,2022,0.0,0.0,1.0,1.0,124.0,0.008,41
graph,3,1,3,7,0.9,9,2022,0.0,0.0,1.0,1.0,124.0,0.008,40
text mining,4,1,1,6,0.85,12,2009,2.0,0.0,0.0,2.0,20.0,0.1,37
analyze,8,2,7,17,0.85,11,2022,3.0,1.0,1.0,5.0,124.0,0.04,38
analyze,8,2,7,17,0.85,11,2011,0.0,0.0,1.0,1.0,28.0,0.036,38
analyze,8,2,7,17,0.85,11,2017,0.0,0.0,2.0,2.0,69.0,0.029,38
analyze,8,2,7,17,0.85,11,2015,0.0,0.0,1.0,1.0,36.0,0.028,38
analyze,8,2,7,17,0.85,11,2020,2.0,0.0,0.0,2.0,88.0,0.023,38
text mining,4,1,1,6,0.85,12,2016,1.0,0.0,0.0,1.0,47.0,0.021,37
analyze,8,2,7,17,0.85,11,2016,1.0,0.0,0.0,1.0,47.0,0.021,38
analyze,8,2,7,17,0.85,11,2018,0.0,0.0,1.0,1.0,52.0,0.019,38
analyze,8,2,7,17,0.85,11,2021,1.0,1.0,0.0,2.0,122.0,0.016,38
analyze,8,2,7,17,0.85,11,2019,0.0,0.0,1.0,1.0,66.0,0.015,38
text mining,4,1,1,6,0.85,12,2017,0.0,0.0,1.0,1.0,69.0,0.014,37
text mining,4,1,1,6,0.85,12,2023,1.0,0.0,0.0,1.0,111.0,0.009,37
analyze,8,2,7,17,0.85,11,2023,1.0,0.0,0.0,1.0,111.0,0.009,38
text mining,4,1,1,6,0.85,12,2021,0.0,1.0,0.0,1.0,122.0,0.008,37
classification,4,1,5,10,0.8,20,2008,0.0,0.0,1.0,1.0,3.0,0.333,29
analysis,26,6,29,61,0.8,13,2017,7.0,0.0,2.0,9.0,69.0,0.13,36
analysis,26,6,29,61,0.8,13,2013,1.0,0.0,2.0,3.0,27.0,0.111,36
computational methods,22,15,5,42,0.8,14,2016,1.0,1.0,3.0,5.0,47.0,0.106,35
computational methods,22,15,5,42,0.8,14,2020,4.0,5.0,0.0,9.0,88.0,0.102,35
analysis,26,6,29,61,0.8,13,2012,1.0,0.0,0.0,1.0,10.0,0.1,36
computational methods,22,15,5,42,0.8,14,2012,0.0,0.0,1.0,1.0,10.0,0.1,35
interpretation,17,1,9,27,0.8,16,2009,2.0,0.0,0.0,2.0,20.0,0.1,33
